ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13368977,1,2025-02-15 00:00:00,Deportes Iquique,0,Coquimbo Unido,3,68.0,32.0,1.04,2.72,9.0,13.0,4.0,7.0,6.0,4.0
13368982,1,2025-02-15 21:00:00,O'Higgins,0,Huachipato,0,54.0,46.0,2.06,0.55,22.0,8.0,4.0,2.0,13.0,2.0
13368976,1,2025-02-15 21:00:00,Palestino,2,Cobresal,1,62.0,38.0,3.25,2.28,14.0,14.0,7.0,6.0,2.0,5.0
13368981,1,2025-02-15 23:30:00,Universidad de Chile,5,Ñublense,0,67.0,33.0,5.48,0.49,36.0,5.0,14.0,0.0,15.0,2.0
13368975,1,2025-02-16 15:00:00,Deportes La Serena,1,Colo Colo,3,41.0,59.0,0.69,1.78,7.0,15.0,2.0,6.0,5.0,5.0
13368978,1,2025-02-16 23:30:00,Deportes Limache,1,Everton de Viña del Mar,1,58.0,42.0,1.78,1.17,17.0,13.0,5.0,3.0,5.0,3.0
13368979,1,2025-02-17 21:00:00,Universidad Católica,3,Audax Italiano,1,57.0,43.0,1.71,1.7,11.0,10.0,6.0,3.0,3.0,8.0
13368980,1,2025-02-17 23:30:00,Unión La Calera,4,Unión Española,0,49.0,51.0,2.05,0.52,10.0,14.0,5.0,1.0,1.0,4.0
13434686,2,2025-02-21 21:00:00,Audax Italiano,4,Deportes Iquique,2,39.0,61.0,2.55,1.46,17.0,15.0,7.0,6.0,5.0,6.0
13434685,2,2025-02-21 21:00:00,Unión Española,0,Palestino,3,43.0,57.0,0.66,2.56,12.0,17.0,4.0,9.0,7.0,6.0
