--- LEAGUES ---
ID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d | Name: Liga de Ascenso | Season: 2025
ID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16 | Name: Liga de Ascenso | Season: 2022
ID: 7cf6b610-f419-426b-a56e-16d680a9cd0c | Name: Liga de Primera | Season: 2026
ID: 8a1bcb77-89f2-4884-ab20-750da17f48ac | Name: Liga de Primera | Season: 2025
ID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66 | Name: Liga de Ascenso | Season: 2026
ID: b8f40800-8e29-4a45-adb2-250e3f3c63bf | Name: Liga de Ascenso | Season: 2024
ID: bad4091f-ff55-4dca-87d7-8f9af542a08c | Name: Liga de Primera | Season: 2022
ID: dc45aff8-66e3-4b37-9033-a60a4e1aa369 | Name: Liga de Primera | Season: 2024
ID: f0a51327-f9c0-4535-baec-ffb6121254f2 | Name: Liga de Primera | Season: 2023
ID: f6251388-49fe-4d9b-ac52-4568555abae7 | Name: Liga de Ascenso | Season: 2023
ID: bb974fd5-17ea-4621-b834-ec34e0774f27 | Name: Liga de Segunda | Season: 2024
ID: 884ee666-7781-4c84-bf2c-f59acddfe0a2 | Name: Liga de Segunda | Season: 2025
ID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3 | Name: Liga de Segunda | Season: 2026
ID: 981e4649-e149-435f-bd34-a512ea5a2c11 | Name: Tercera División A | Season: 2024
ID: 7410b97f-a517-4315-9030-06a7386f22f6 | Name: Tercera División A | Season: 2025
ID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e | Name: Tercera División A | Season: 2026

--- TEAMS ---
ID: 3c0525d0-b11f-4bc0-ae4b-61a249a25c88 | Name: Lautaro de Bui­n | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 879ddd12-f818-4dc4-9827-6d01213506b8 | Name: Arturo Fernández Vial | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 5bea67b8-1079-4162-be64-be22e09b1920 | Name: Deportes Puerto Montt | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 4ee6589f-7ab0-4e62-aa98-0d449f25f34d | Name: Provincial Ovalle | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: a340fb09-6245-442d-aea9-e5589f41b23e | Name: Deportes Linares | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 5904d96b-bae6-403e-9c9b-37aed5068fce | Name: Deportes Rengo | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: e71ce987-0dd9-4451-945d-04e2088ecf6d | Name: Deportes Concepción | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: fbe3d1c0-d647-47b9-b552-cda853bdaea8 | Name: Provincial Osorno | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: d4e05bd0-6076-4188-b1ac-93e447ff5aca | Name: CD Trasandino de Los Andes | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 1cf8684b-7d6b-4708-8002-3b5a28352bc5 | Name: Deportes Melipilla | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: c848d75b-be30-47d9-9507-81aa7fa321c8 | Name: General Velasquez | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 48961960-5274-449f-833d-efc1e17d31ff | Name: Real San Joaquín | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 4fdd1cb1-3af1-4acc-a786-f718b5022779 | Name: CD Concón National | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: f77425d1-d924-4c0d-a031-bfa9203c965e | Name: San Antonio Unido | LeagueID: bb974fd5-17ea-4621-b834-ec34e0774f27
ID: 09786b8d-014f-4578-9948-75f29d69e719 | Name: Deportes Puerto Montt | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 6a44c702-3aff-4b01-9749-753a9de3a94c | Name: Provincial Osorno | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 10847726-6998-45f7-9dbc-aa42739a8114 | Name: Coquimbo Unido | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 182801db-436a-4089-bf1f-b11681f308db | Name: Unión Española | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 1c3ef3a8-003c-4157-85df-232f66a3a226 | Name: O'Higgins | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 1ed58433-0971-4cbe-a136-7e39ad10ddfe | Name: Ñublense | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 21dd570e-bfb7-4a34-9dce-95a1f2d2bcc4 | Name: Cobresal | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 23cc6c44-b1f1-4b01-bddb-fb981584d018 | Name: Universidad de Chile | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 27f72ce9-7cd9-4827-8e4a-193fb9e11825 | Name: Unión La Calera | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 28bf006e-ed69-485e-b093-5590c7505b35 | Name: Deportes Magallanes | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 28c43b9c-ca60-41a6-9cd0-4d03313b76b4 | Name: Audax Italiano | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 2e348d61-e956-4ec6-a9c4-64cfbc43d187 | Name: Everton de Viña del Mar | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 3ee0489c-4766-431f-8444-c9736d7ed216 | Name: Ñublense | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 440c7d4a-2ce5-4fcd-84f1-1ac68c57ce6b | Name: Curicó Unido | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 48d762b4-271a-4c00-92a9-c3724e10e061 | Name: Cobresal | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 4a774e2c-b5f9-4343-979c-cf964365db13 | Name: Deportes La Serena | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 98277427-1852-41b4-9f6d-5559ddf6e6fb | Name: CD Concón National | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: 17104c35-19f5-4ce7-bfa4-5d6a4ba6ae4d | Name: Santiago City FC | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
ID: d3c59096-2ba5-4a6e-aa90-9da1d9cba988 | Name: San Antonio Unido | LeagueID: 884ee666-7781-4c84-bf2c-f59acddfe0a2
