Startup initialized, waiting for settle...
League found, starting sync...
--- STAGE SYNC STATUS ---
Team: Santiago City FC | Group: Zona Norte
Team: CD Trasandino de Los Andes | Group: Zona Norte
Team: Provincial Ovalle | Group: Zona Norte
Team: Deportes Linares | Group: Zona Sur
Team: Brujas de Salamanca | Group: Zona Norte
Team: CD Concón National | Group: Zona Norte
Team: Real San Joaquín | Group: Zona Norte
Team: General Velasquez | Group: Zona Sur
Team: Lota Schwager | Group: Zona Sur
Team: Deportes Rengo | Group: Zona Sur
Team: Santiago Morning | Group: Zona Sur
Team: Atlético Colina | Group: Zona Norte
Team: Provincial Osorno | Group: Zona Sur
Team: CD Colchagua | Group: Zona Sur
Sync completed successfully.
