=== REPORTE DE EXTRACCIÓN Y SINCRONIZACIÓN [DB CLEANUP ACTIVE] ===

Liga: Liga de Ascenso | Temporada: 2025 | Equipos: 16 | Partidos: 240 | Jugados: 240
Liga: Liga de Ascenso | Temporada: 2022 | Equipos: 17 | Partidos: 272 | Jugados: 272
Liga: Liga de Primera | Temporada: 2026 | Equipos: 16 | Partidos: 242 | Jugados: 149
Liga: Liga de Primera | Temporada: 2025 | Equipos: 16 | Partidos: 232 | Jugados: 232
Liga: Liga de Ascenso | Temporada: 2026 | Equipos: 16 | Partidos: 248 | Jugados: 160
Liga: Liga de Ascenso | Temporada: 2024 | Equipos: 16 | Partidos: 240 | Jugados: 240
Liga: Liga de Primera | Temporada: 2022 | Equipos: 16 | Partidos: 240 | Jugados: 240
Liga: Liga de Primera | Temporada: 2024 | Equipos: 16 | Partidos: 240 | Jugados: 240
Liga: Liga de Primera | Temporada: 2023 | Equipos: 16 | Partidos: 232 | Jugados: 232
Liga: Liga de Ascenso | Temporada: 2023 | Equipos: 16 | Partidos: 240 | Jugados: 240
Liga: Liga de Segunda | Temporada: 2024 | Equipos: 14 | Partidos: 182 | Jugados: 182
Liga: Liga de Segunda | Temporada: 2025 | Equipos: 14 | Partidos: 182 | Jugados: 156
Liga: Liga de Segunda | Temporada: 2026 | Equipos: 14 | Partidos: 94 | Jugados: 94
Liga: Tercera División A | Temporada: 2024 | Equipos: 14 | Partidos: 182 | Jugados: 182
Liga: Tercera División A | Temporada: 2025 | Equipos: 15 | Partidos: 195 | Jugados: 195
Liga: Tercera División A | Temporada: 2026 | Equipos: 14 | Partidos: 140 | Jugados: 125
Liga: Tercera División B | Temporada: 2024 | Equipos: 36 | Partidos: 366 | Jugados: 366
Liga: Tercera División B | Temporada: 2025 | Equipos: 27 | Partidos: 338 | Jugados: 338
Liga: Tercera División B | Temporada: 2026 | Equipos: 28 | Partidos: 265 | Jugados: 261
